239,-1
216,-1
210,-1
217,-1
206,-1
227,-1
316,504
310,504
201,-1
18,-1
6,-1
317,507
228,-1
237,-1
213,-1
238,-1
219,-1
339,516
327,512
234,-1
306,515
301,512
229,-1
338,507
19,-1
313,510
118,516
203,-1
106,517
8,-1
1,-1
329,508
221,-1
202,-1
205,-1
334,515
225,-1
240,-1
302,504
321,506
3,-1
328,528
319,525
15,-1
337,530
231,-1
303,518
243,-1
108,518
115,505
5,-1
233,-1
119,527
343,505
208,-1
220,-1
340,518
305,522
101,527
215,-1
235,-1
20,-1
331,516
14,-1
325,527
16,-1
120,504
209,-1
315,508
103,528
335,509
2,-1
105,521
320,517
114,510
309,507
17,-1
242,-1
222,-1
333,527
9,-1
7,-1
4,-1
223,-1
13,-1
308,530
107,504
212,-1
230,-1
102,517
241,-1
323,507
116,526
113,508
12,-1
342,517
232,-1
224,-1
236,-1
214,-1
104,517
117,524
204,-1
109,522
207,-1
322,526
211,-1
112,512
218,-1
330,520
307,505
314,511
11,-1
10,-1
318,505
332,518
324,518
312,529
226,-1
111,506
244,-1
341,530
311,515
336,524
110,510
304,522
344,505
326,508
